Symbol,Open,High,Low,Prev. Close,LTP,%chng,Volume,Value,CA 
SECMARK,101.7,122.04,101.7,101.7,122.04,20,58857,7002805.86,-
CONCORDBIO,1075,1291.3,1072.7,1076.1,1260,17.09,11424384,13877541976.32,03-Sep-2025
JINDALPOLY,547,657.4,543,552.7,637,15.25,6276304,3901601618.56,23-Sep-2025
LFIC,134.89,153.9,127.51,128.57,146.99,14.33,112433,16409596.35,19-Sep-2025
JAIBALAJI,60.85,72.2,60.38,60.85,69.2,13.72,34310768,2291616194.72,17-Jan-2025
RGL,113.7,130,113.55,113.92,128.35,12.67,16559322,2079685249.98,08-Nov-2024
ESTER,97.25,108.75,97.12,97.12,108.35,11.56,1318187,139991459.4,19-Sep-2025
SHANKARA,99.97,113.75,98.25,99.97,111.25,11.28,1049416,114585733.04,24-Sep-2025
VARDMNPOLY,7.02,8.14,7.02,7.1,7.85,10.56,1484064,11516336.64,23-Sep-2024
GLOBALE,11.5,13.1,11.02,10.92,12.03,10.16,35391,423276.36,23-Sep-2024
SUMEETINDS,21.64,24.42,21.64,22.2,24.42,10,126339,2974020.06,03-Oct-2025
A2ZINFRA,17.51,17.51,16.53,15.92,17.51,9.99,1933667,33761825.82,20-Sep-2024
SANDUMA,195.25,215.05,195.25,195.06,214,9.71,12697266,2680519825.26,22-Sep-2025
BUILDPRO,958.75,1044,952.05,948.45,1039,9.55,94357,95557221.04,-
TFL,13.5,14.97,12.66,12.98,14.11,8.71,578122,8284488.26,04-Nov-2022
EXCELSOFT,79.06,87.7,79.06,79.88,86.8,8.66,3414026,291455399.62,-
SALONA,243,269,240,244.38,265,8.44,6514,1687386.56,12-Sep-2025
COSMOFIRST,653,728.8,653,653.1,703,7.64,917241,646865870.43,28-Jul-2025
CREST,337.9,360.05,337.9,335.35,359.9,7.32,15823,5522068.77,23-Sep-2025
RAMANEWS,36.7,40.38,35.5,34.5,37.01,7.28,747491,28793353.32,18-Sep-2023
