Symbol,Open,High,Low,Prev. Close,LTP,%chng,Volume,Value,CA 
KOTHARIPRO,61,71.59,61,59.66,71.59,20,78702,5424141.84,18-Feb-2025
UNIECOM,99.64,118.62,98.93,98.85,118.62,20,9429333,1070417882.16,-
EASEMYTRIP,7.96,9.5,7.96,7.92,9.5,19.95,593875674,5428023660.36,29-Nov-2024
ORCHASP,2.4,2.91,2.4,2.43,2.87,18.11,5719101,16185055.83,-
KELLTONTEC,17,20.35,16.92,17.06,19.99,17.17,36581243,723211174.11,25-Jul-2025
RACLGEAR,1506.3,1691.9,1481.5,1441.6,1647.9,14.31,3037980,4798793208,20-Feb-2026
GANDHITUBE,825.7,972,813.15,817.05,917.9,12.34,545827,509917041.67,04-Aug-2025
NEWGEN,463.05,541,458.65,463.05,516.7,11.59,49247741,25695501344.16,18-Jul-2025
SHRADHA,37.48,43.7,37.48,37.48,41.5,10.73,132471,5473701.72,16-Sep-2025
JPOLYINVST,1128.65,1283.95,1123.65,1119.7,1235,10.3,208887,256341948.66,20-Sep-2024
KAYA,310,349,310,313.15,344.5,10.01,7932,2610976.44,25-Jul-2018
GVPIL,490,552.05,480.05,501.9,552.05,9.99,11043969,5807581538.34,16-Jul-2024
AIRAN,17.01,19.15,17.01,17.41,19.15,9.99,312026,5862968.54,14-Aug-2019
GENESYS,292.25,339,290.2,292.25,320.95,9.82,2400104,776289637.76,23-Sep-2024
INDOFARM,135.9,154.09,135.5,134.93,148,9.69,2289943,339942038.35,-
GTPL,69.5,81.5,68.05,68.96,75.48,9.45,527873,40366448.31,19-Sep-2025
BIRLACABLE,136.24,152,136.24,136.24,149,9.37,150143,21922379.43,26-Jul-2024
DRCSYSTEMS,16.01,18.5,16,15.83,17.3,9.29,360467,6297358.49,09-Sep-2024
MPSLTD,1500,1668.5,1500,1500.7,1637.3,9.1,147049,237951750.82,13-Aug-2025
VSTTILLERS,5690,6252,5648.5,5685,6200,9.06,65548,399756932.12,03-Sep-2025
