Symbol,Open,High,Low,Prev. Close,LTP,%chng,Volume,Value,CA 
TATSILV,27.52,27.52,22.02,27.52,22.37,-18.71,578890654,12926628303.82,-
HDFCSILVER,248.5,248.5,202.2,252.74,214.84,-15,45382389,9680063573.7,-
SILVERBND,264.54,265,218.02,271.8,231.05,-14.99,789477,186861311.13,-
GROWWSLVR,242.71,245,206.4,257.99,221,-14.34,3617774,782596871.68,06-Feb-2026
SILVERAG,256.65,256.65,205.32,256.65,220,-14.28,3124270,670749526.3,-
SBISILVER,250,250,207.4,259.25,223,-13.98,23005966,5068444369.46,-
SILVER1,250,250,204.89,256.11,220.79,-13.79,10992502,2334587574.76,-
SILVERBETA,238.5,238.6,201.86,252.32,218.5,-13.4,11061664,2359121081.28,-
SILVER,263.22,263.22,210.6,263.22,228.95,-13.02,24826153,5544673011.02,-
SILVERIETF,263.64,263.64,210.91,263.63,230,-12.76,91416812,20614491106,-
ESILVER,261,261,210.61,263.26,230,-12.63,584979,131667073.32,-
SILVERBEES,252.49,252.49,205.02,252.5,220.93,-12.5,321774758,69326371611.1,-
REPL,111.4,111.4,95.37,109.75,96.51,-12.06,38105,3826885.15,24-Jan-2025
SILVERADD,254.54,254.54,203.65,254.56,225,-11.61,7517220,1640482920.6,-
AXISILVER,263.1,263.1,210.49,263.11,233,-11.44,5419910,1230807361.9,-
UNIENTER,121.09,121.09,100,119.93,106.87,-10.89,124263,12982998.24,29-Aug-2025
NEXT50ADD,70.7,70.7,65.53,75.19,67.2,-10.63,14860,985515.2,-
KEEPLEARN,2.3,2.3,2.02,2.31,2.08,-9.96,192823,404928.3,23-Sep-2024
SILVER360,258.67,260.1,207,258.68,233.9,-9.58,345353,77138046.08,-
SILVERCASE,26.8,26.8,21.56,26.8,24.3,-9.33,129722813,2973246873.96,-
