Symbol,Open,High,Low,Prev. Close,LTP,%chng,Volume,Value,CA 
MOSILVER,376.75,376.75,281.2,377.27,285,-24.46,1090578,369236993.46,-
SBISILVER,349.8,349.8,277.99,358.24,277.99,-22.4,18838269,5966644940.37,-
SILVER,354.4,354.4,284.1,367.12,285,-22.37,26586355,8638438466.6,-
AXISILVER,363,363,283,371.47,290,-21.93,7180372,2341806524.08,-
SILGO-RE1,7.8,7.8,4.82,7.72,6.05,-21.63,28730,182148.2,-
SILVERIETF,360,360,284.12,367.25,289.25,-21.24,60128825,19458289058.25,-
SILVERADD,349.9,349.9,274.29,351.92,277.5,-21.15,5475514,1711371900.7,-
ESILVER,359.97,359.98,285,368.91,292,-20.85,724956,238923748.92,-
SILVER1,344.99,350,276.5,357.72,283.8,-20.66,9789489,3106009069.92,-
SILVERBETA,355.03,355.03,275,355.03,284.06,-19.99,8703111,2758276969.23,-
SILVERBEES,329,337.8,276.66,351.91,283.29,-19.5,391602898,122552126929.1,-
GROWWSLVR,347.22,347.39,280.1,357.22,297,-16.86,4745683,1538740255.92,-
SILVERAG,360.95,360.95,301,362.27,302,-16.64,3412396,1110154790.68,-
HDFCSILVER,344,344,285,355.42,300,-15.59,42505794,13501115348.22,-
SOUTHBANK,38.15,39,36.03,44.26,37.65,-14.93,178280484,6712260222.6,13-Aug-2025
SILVERCASE,36.1,36.62,30,37.8,32.3,-14.55,133145345,4516290102.4,-
GOLDADD,162,170,142.61,173.61,149.73,-13.75,4851215,774205401.85,-
UNIONGOLD,169.4,173.6,141.15,175,151,-13.71,101913,16790166.75,-
HINDZINC,690,690,622.35,715.2,626,-12.47,49436689,32476444104.77,17-Jun-2025
TATSILV,33.3,33.94,29.9,34.94,30.7,-12.14,883681611,28401526977.54,-
